ID,ENTERPRISE_NBR,COMPANY,STATE,ZIPPOSTAL_CODE,YEAR_FOUNDED,NAICS6,WEBSITE
1,1038465,15th Street Diner,AL,35401,1993,722511,dinerrestaurants.com
2,3486233,24e Health Clubs,AL,35216,2010,713940,www.24ehealthclubs.com
4,1039622,"A H R Metals, Inc.",AL,35020,1987,332322,www.ahrmetals.com
5,1040033,"A W Williams Inspection Co, Inc.",AL,36603,1921,541990,www.awwilliamsinspection.com
8,1042104,"Ace Home Center, Inc.",AL,36567,1992,423310,www.acehardware.com
9,1042145,Ace Rental Place,AL,36830,,532289,www.bldr.com
10,1043013,"Advanced Clinical Employment Staffing, LLC",AL,35121,2003,561311,www.acesnursetravel.com
13,1043531,"Adventure Island, Inc.",AL,36561,1995,713110,www.adventure-island.com
14,3464735,Alabama Central Credit Union,AL,35222,1938,522130,www.alabamacentral.org
15,1044633,"Alabama Clinical Schools, Inc.",AL,35210,1997,622210,www.alabamaclinicalschools.com
16,1044653,Alabama Department of Youth Services,AL,36057,,623990,dys.alabama.gov
17,1316265,"Alabama Farmers Federation, Inc.",AL,,1921,453998,www.alfafarmers.org
18,1044673,"Alabama Footwear, Inc.",AL,35968,1983,315110,www.prewettmills.com
20,2347491,Alabama Rural Coalition for the Homeless,AL,,2004,624229,www.archconnection.org
21,1044747,"Alabama Sheriffs Youth Ranches, Inc.",AL,36117,1966,623990,www.alabamasheriffs.com
23,492070,Alabama Symphony Orchestra,AL,35222,,711130,www.alabamasymphony.org
24,1044767,"Alabama Thrift Stores, Inc.",AL,35405,2000,453310,alabamathrift.com
26,2334670,"Alcohol and Drug Abuse Treatment Centers, Inc.",AL,35211,1974,622210,www.adatc.org
27,2377310,Alfred Saliba Family Services Center,AL,36301,1994,624190,www.salibacenter.org
28,1040901,Alg Labels & Graphics Corp.,AL,35233,1986,322220,www.alggraphics.com
29,1045445,Aliant Financial Services Corp.,AL,35010,1993,523120,www.aliantbank.com
30,1045859,"All Steak, Inc.",AL,35055,1977,722511,www.theallsteakrestaurant.com
31,1311414,"Alpha Technology, LLC",AL,,2001,541519,www.aftllc.com
36,1048352,American Telemessaging Ameritel,AL,36117,2003,561421,www.ameritel800.com
37,1048468,Americapital Funding Corp.,AL,35216,1997,522292,www.americapitalfunding.com
40,1049435,"Anniston Country Club, Inc.",AL,36207,2002,713910,www.annistoncc.com
41,1049437,"Anniston Emergency Medical Services, Inc.",AL,36201,,621910,www.annistonems.com
44,1051442,"Art Iron Works, Inc.",AL,35121,1954,332312,www.artironworks.com
47,1051799,Ashton Gables in Riverchase,AL,35244,2001,621610,ashtongables.com
48,1041196,"Ask Telemarketing, Inc.",AL,36117,1992,561422,www.asktelemarketing.com
50,1053557,AutoTec LLC,AL,35209,1997,511210,www.autotec.com
54,1054532,"B M C S, Inc.",AL,35950,1979,531110,www.bmc.com
55,1081144,"BDI, Inc.",AL,35222,1997,238210,bdielectric.com
57,1055238,"Bagby & Russell Electric Co, Inc.",AL,36608,1987,238210,www.bagrus.com
58,1055298,Bailey Knit Corp.,AL,35967,1965,315110,www.baileyknit.com
59,1055383,"Baker Hosiery, Inc.",AL,35967,1973,315110,www.bakersox.com
61,1055565,"Bama Lanes, Inc.",AL,36109,1961,713950,www.bamalanes.com
62,1055727,Banks Finley White & Co.,AL,35222,1973,541219,www.bfwcpa.com
63,1055989,Barlovento Llc/Carters Contracting Jv,AL,36303,,561499,www.barloventollc.com
64,516006,"Barlovento, LLC",AL,36303,1996,236220,www.barloventollc.com
65,1056384,"Bates Enterprises, Inc.",AL,35044,1995,812332,www.batesenterprises.com
67,1056638,"Bay Nursing, Inc.",AL,36609,1997,561311,www.baynursing.com
70,1056951,"Bear & Son, Inc.",AL,36265,2003,332215,www.bearandsoncutlery.com
71,2317075,"Bear Lumber Company, Inc.",AL,36104,1932,423310,www.bearlumber.com
74,1057663,"Ben M Radcliff Contractors, Inc.",AL,36693,1956,236210,www.benradcliff.com
75,1057668,"Ben Porter, Era Real Estate",AL,35801,1966,531210,www.benporter.com
76,1058547,"Better Built Trailers, Inc.",AL,35553,1985,336212,www.betterbuilttrailers.com
77,1058654,Bhate Engineering Corp.,AL,35212,1985,541330,www.bhate-eng.com
78,1058656,Bhate Geosciences,AL,35212,,541330,www.bhate-geo.com
79,1058869,"Big Oak Ranch, Inc.",AL,35146,1979,721214,www.bigoak.org
81,1058982,"Bigbee Steel Buildings, Inc.",AL,35661,1961,332311,www.bigbee.com
82,1059417,Birmingham Bass Masters,AL,35173,1969,713940,www.birminghambassmasters.com
84,1308527,"Birmingham Zoo, Inc.",AL,,1999,712190,www.birminghamzoo.com
85,1839107,Blue Creek Investment Partners,AL,35801,,523110,www.bluecreekip.com
86,1060391,"Boaz Printing, Inc.",AL,35957,1979,323111,www.boazprinting.com
89,1061186,"Bottega, Inc.",AL,35205,1987,722511,www.bottegarestaurant.com
90,3454996,Boys & Girls Ranches of Alabama,AL,36117,1963,623990,www.boysandgirlsranches.org
91,1311680,"Brendle Sprinkler Co, Inc.",AL,,1977,238220,www.brendlesprinkler.com
92,1062075,"Brett Real Estate, Robinson Development Co, Inc.",AL,36571,1969,531210,www.brettrobinsonsales.com
93,1062429,"Brim Construction Group, Inc.",AL,36693,1990,238220,www.brimconstruction.com
95,1062962,Brown Manufacturing Corp.,AL,36360,1944,333111,www.brownmfgcorp.com
96,1307075,"Brown Precision, Inc.",AL,,1986,336413,www.brownprecisioninc.com
97,2283124,"Browning Enterprise, Inc.",AL,35954,,332322,www.beial.com
101,1063963,"Business Council of Alabama, Inc.",AL,36104,1985,813910,www.bcatoday.org
102,1064024,"Business Systems & Consultants, Inc.",AL,35244,1976,453998,www.bscsolutions.com
103,1064275,"C & C Fabrication Co, Inc.",AL,35754,1985,334513,www.ccfab.com
104,1064427,"C & L Wood Products, Inc.",AL,35640,1975,321113,www.clwoodproducts.com
109,1066094,"Cain Manufacturing Company, Inc.",AL,35124,1935,332322,www.cainmfg.com
111,1066809,Canteen Vending Service,AL,35603,2002,541618,www.canteen.com
112,1067096,"Capital Veneer Works, Inc.",AL,36104,1967,321211,www.capitalmat.com
113,2317147,Capstone Building Corp.,AL,35209,1997,236116,www.capstonebuilding.com
116,1068274,Carr Funeral Home,AL,35976,,812210,www.carrfuneralhomeguntersville.com
117,1068328,"Carrington Foods, Inc.",AL,36571,1971,311710,www.carringtonfoods.com
119,1068707,"Cast Products, Inc.",AL,35614,1980,334290,www.getcpi.com
120,1070014,Century 21 Steele & Assoc,AL,35802,1991,531210,www.century21steele.com
128,1072184,"Cimco Refrigeration, Inc.",AL,36606,1953,238220,www.cimcorefrigeration.com
129,1072319,"Cirrus Technology, Inc.",AL,35802,1998,561320,www.cirrusti.com
131,1073805,"Coastal Hospice Care, Inc.",AL,36571,2004,621610,www.coastalhospicecare.com
132,1073812,"Coastal Insurance Risk Retention Group, Inc.",AL,36116,1985,524210,www.coastalins.org
133,1307083,"Coastal Service Express, Inc.",AL,,1958,484110,www.quickdeliveryservice.net
134,1074137,"Coil Manufacturing, Inc.",AL,35210,1993,335312,cmicoil.com
140,1076917,"Construction Affiliates, LLC",AL,36602,1997,236220,www.conaff.com
